,precision,recall,f1-score,support
공학일반,0.9829931972789115,0.9174603174603174,0.9490968801313628,315.0
농학,0.9661654135338346,0.9910025706940874,0.9784263959390863,778.0
사회복지학,0.9490861618798956,0.9784656796769852,0.9635520212060967,743.0
사회학,0.9132947976878613,0.8272251308900523,0.8681318681318682,191.0
전자/정보통신공학,0.9694835680751174,0.9604651162790697,0.9649532710280374,430.0
accuracy,0.9597069597069597,0.9597069597069597,0.9597069597069597,0.9597069597069597
macro avg,0.9562046276911239,0.9349237630001024,0.9448320872872904,2457.0
weighted avg,0.9596287373950447,0.9597069597069597,0.9592362630823611,2457.0
